STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
YBP,M,18,SNOW DP,19460401 0000,19460402 0000,101,,INCHES
YBP,M,18,SNOW DP,19460501 0000,19460501 0000,36,,INCHES
YBP,M,18,SNOW DP,19470101 0000,19461231 0000,26,,INCHES
YBP,M,18,SNOW DP,19470201 0000,19470129 0000,53,,INCHES
YBP,M,18,SNOW DP,19470301 0000,19470227 0000,33,,INCHES
YBP,M,18,SNOW DP,19470401 0000,19470401 0000,50,,INCHES
YBP,M,18,SNOW DP,19470501 0000,19470430 0000,3,,INCHES
YBP,M,18,SNOW DP,19480201 0000,19480130 0000,12,,INCHES
YBP,M,18,SNOW DP,19480301 0000,19480302 0000,24,,INCHES
YBP,M,18,SNOW DP,19480401 0000,19480329 0000,55,,INCHES
YBP,M,18,SNOW DP,19480501 0000,19480430 0000,71,,INCHES
YBP,M,18,SNOW DP,19490201 0000,19490127 0000,51,,INCHES
YBP,M,18,SNOW DP,19490301 0000,19490301 0000,69,,INCHES
YBP,M,18,SNOW DP,19490401 0000,19490330 0000,85,,INCHES
YBP,M,18,SNOW DP,19490501 0000,19490428 0000,26,,INCHES
YBP,M,18,SNOW DP,19500201 0000,19500129 0000,65,,INCHES
YBP,M,18,SNOW DP,19500301 0000,19500226 0000,68,,INCHES
YBP,M,18,SNOW DP,19500401 0000,19500331 0000,76,,INCHES
YBP,M,18,SNOW DP,19500501 0000,19500429 0000,49,,INCHES
YBP,M,18,SNOW DP,19510201 0000,19510127 0000,39,,INCHES
YBP,M,18,SNOW DP,19510301 0000,19510303 0000,63,,INCHES
YBP,M,18,SNOW DP,19510401 0000,19510401 0000,44,,INCHES
YBP,M,18,SNOW DP,19510501 0000,19510429 0000,24,,INCHES
YBP,M,18,SNOW DP,19520201 0000,19520202 0000,135,,INCHES
YBP,M,18,SNOW DP,19520301 0000,19520302 0000,147,,INCHES
YBP,M,18,SNOW DP,19520401 0000,19520331 0000,161,,INCHES
YBP,M,18,SNOW DP,19520501 0000,19520509 0000,93,,INCHES
YBP,M,18,SNOW DP,19530201 0000,19530201 0000,64,,INCHES
YBP,M,18,SNOW DP,19530301 0000,19530301 0000,67,,INCHES
YBP,M,18,SNOW DP,19530401 0000,19530328 0000,66,,INCHES
YBP,M,18,SNOW DP,19530501 0000,19530503 0000,45,,INCHES
YBP,M,18,SNOW DP,19540201 0000,19540130 0000,47,,INCHES
YBP,M,18,SNOW DP,19540301 0000,19540227 0000,57,,INCHES
YBP,M,18,SNOW DP,19540401 0000,19540327 0000,59,,INCHES
YBP,M,18,SNOW DP,19540501 0000,19540430 0000,14,,INCHES
YBP,M,18,SNOW DP,19550201 0000,19550131 0000,52,,INCHES
YBP,M,18,SNOW DP,19550301 0000,19550301 0000,68,,INCHES
YBP,M,18,SNOW DP,19550401 0000,19550330 0000,53,,INCHES
YBP,M,18,SNOW DP,19550501 0000,19550429 0000,55,,INCHES
YBP,M,18,SNOW DP,19560201 0000,19560131 0000,107,,INCHES
YBP,M,18,SNOW DP,19560301 0000,19560228 0000,140,,INCHES
YBP,M,18,SNOW DP,19560401 0000,19560329 0000,100,,INCHES
YBP,M,18,SNOW DP,19560501 0000,19560427 0000,74,,INCHES
YBP,M,18,SNOW DP,19570201 0000,19570204 0000,46,,INCHES
YBP,M,18,SNOW DP,19570301 0000,19570228 0000,51,,INCHES
YBP,M,18,SNOW DP,19570401 0000,19570401 0000,61,,INCHES
YBP,M,18,SNOW DP,19570501 0000,19570501 0000,33,,INCHES
YBP,M,18,SNOW DP,19580201 0000,19580203 0000,83,,INCHES
YBP,M,18,SNOW DP,19580301 0000,19580227 0000,72,,INCHES
YBP,M,18,SNOW DP,19580401 0000,19580331 0000,123,,INCHES
YBP,M,18,SNOW DP,19580501 0000,19580502 0000,85,,INCHES
YBP,M,18,SNOW DP,19590201 0000,19590202 0000,28,,INCHES
YBP,M,18,SNOW DP,19590301 0000,19590302 0000,53,,INCHES
YBP,M,18,SNOW DP,19590401 0000,19590330 0000,40,,INCHES
YBP,M,18,SNOW DP,19590501 0000,19590501 0000,0,,INCHES
YBP,M,18,SNOW DP,19600201 0000,19600202 0000,58,,INCHES
YBP,M,18,SNOW DP,19600301 0000,19600301 0000,54,,INCHES
YBP,M,18,SNOW DP,19600401 0000,19600401 0000,49,,INCHES
YBP,M,18,SNOW DP,19600501 0000,19600502 0000,3,,INCHES
YBP,M,18,SNOW DP,19610201 0000,19610201 0000,28,,INCHES
YBP,M,18,SNOW DP,19610301 0000,19610227 0000,35,,INCHES
YBP,M,18,SNOW DP,19610401 0000,19610330 0000,47,,INCHES
YBP,M,18,SNOW DP,19610501 0000,19610501 0000,10,,INCHES
YBP,M,18,SNOW DP,19620201 0000,19620131 0000,35,,INCHES
YBP,M,18,SNOW DP,19620301 0000,19620228 0000,97,,INCHES
YBP,M,18,SNOW DP,19620401 0000,19620329 0000,98,,INCHES
YBP,M,18,SNOW DP,19620501 0000,19620430 0000,41,,INCHES
YBP,M,18,SNOW DP,19630201 0000,19630203 0000,0,,INCHES
YBP,M,18,SNOW DP,19630301 0000,19630304 0000,4,,INCHES
YBP,M,18,SNOW DP,19630401 0000,19630329 0000,46,,INCHES
YBP,M,18,SNOW DP,19630501 0000,19630430 0000,50,,INCHES
YBP,M,18,SNOW DP,19640201 0000,19640129 0000,66,,INCHES
YBP,M,18,SNOW DP,19640301 0000,19640227 0000,50,,INCHES
YBP,M,18,SNOW DP,19640401 0000,19640331 0000,56,,INCHES
YBP,M,18,SNOW DP,19640501 0000,19640504 0000,25,,INCHES
YBP,M,18,SNOW DP,19650201 0000,19650203 0000,80,,INCHES
YBP,M,18,SNOW DP,19650301 0000,19650301 0000,75,,INCHES
YBP,M,18,SNOW DP,19650401 0000,19650402 0000,69,,INCHES
YBP,M,18,SNOW DP,19650501 0000,19650503 0000,49,,INCHES
YBP,M,18,SNOW DP,19660201 0000,19660126 0000,60,,INCHES
YBP,M,18,SNOW DP,19660301 0000,19660302 0000,81,,INCHES
YBP,M,18,SNOW DP,19660401 0000,19660325 0000,65,,INCHES
YBP,M,18,SNOW DP,19660501 0000,19660428 0000,13,,INCHES
YBP,M,18,SNOW DP,19670201 0000,19670201 0000,100,,INCHES
YBP,M,18,SNOW DP,19670301 0000,19670227 0000,77,,INCHES
YBP,M,18,SNOW DP,19670401 0000,19670327 0000,96,,INCHES
YBP,M,18,SNOW DP,19670501 0000,19670501 0000,130,,INCHES
YBP,M,18,SNOW DP,19680201 0000,19680126 0000,36,,INCHES
YBP,M,18,SNOW DP,19680301 0000,19680227 0000,46,,INCHES
YBP,M,18,SNOW DP,19680401 0000,19680326 0000,55,,INCHES
YBP,M,18,SNOW DP,19680501 0000,19680426 0000,11,,INCHES
YBP,M,18,SNOW DP,19690201 0000,19690129 0000,122,,INCHES
YBP,M,18,SNOW DP,19690301 0000,19690227 0000,168,,INCHES
YBP,M,18,SNOW DP,19690401 0000,19690327 0000,130,,INCHES
YBP,M,18,SNOW DP,19690501 0000,19690430 0000,87,,INCHES
YBP,M,18,SNOW DP,19700201 0000,19700202 0000,42,,INCHES
YBP,M,18,SNOW DP,19700301 0000,19700227 0000,46,,INCHES
YBP,M,18,SNOW DP,19700401 0000,19700330 0000,36,,INCHES
YBP,M,18,SNOW DP,19700501 0000,19700505 0000,8,,INCHES
YBP,M,18,SNOW DP,19710201 0000,19710201 0000,78,,INCHES
YBP,M,18,SNOW DP,19710401 0000,19710329 0000,98,,INCHES
YBP,M,18,SNOW DP,19710501 0000,19710503 0000,69,,INCHES
YBP,M,18,SNOW DP,19720201 0000,19720201 0000,75,,INCHES
YBP,M,18,SNOW DP,19720301 0000,19720228 0000,76,,INCHES
YBP,M,18,SNOW DP,19720401 0000,19720327 0000,42,,INCHES
YBP,M,18,SNOW DP,19720501 0000,19720428 0000,30,,INCHES
YBP,M,18,SNOW DP,19730201 0000,19730130 0000,65,,INCHES
YBP,M,18,SNOW DP,19730301 0000,19730301 0000,80,,INCHES
YBP,M,18,SNOW DP,19730401 0000,19730402 0000,80,,INCHES
YBP,M,18,SNOW DP,19730501 0000,19730430 0000,35,,INCHES
YBP,M,18,SNOW DP,19740201 0000,19740123 0000,59,,INCHES
YBP,M,18,SNOW DP,19740301 0000,19740221 0000,76,,INCHES
YBP,M,18,SNOW DP,19740401 0000,19740322 0000,84,,INCHES
YBP,M,18,SNOW DP,19740501 0000,19740426 0000,83,,INCHES
YBP,M,18,SNOW DP,19750301 0000,19750220 0000,98,,INCHES
YBP,M,18,SNOW DP,19750401 0000,19750320 0000,101,,INCHES
YBP,M,18,SNOW DP,19750501 0000,19750421 0000,106,,INCHES
YBP,M,18,SNOW DP,19760201 0000,19760120 0000,12,,INCHES
YBP,M,18,SNOW DP,19760301 0000,19760223 0000,23,,INCHES
YBP,M,18,SNOW DP,19760401 0000,19760322 0000,30,,INCHES
YBP,M,18,SNOW DP,19760501 0000,19760420 0000,17,,INCHES
YBP,M,18,SNOW DP,19770201 0000,19770124 0000,15,,INCHES
YBP,M,18,SNOW DP,19770301 0000,19770222 0000,22,,INCHES
YBP,M,18,SNOW DP,19770401 0000,19770321 0000,24,,INCHES
YBP,M,18,SNOW DP,19770501 0000,19770421 0000,0,,INCHES
YBP,M,18,SNOW DP,19780201 0000,19780120 0000,96,,INCHES
YBP,M,18,SNOW DP,19780301 0000,19780221 0000,98,,INCHES
YBP,M,18,SNOW DP,19780401 0000,19780320 0000,87,,INCHES
YBP,M,18,SNOW DP,19780501 0000,19780424 0000,75,,INCHES
YBP,M,18,SNOW DP,19790201 0000,19790123 0000,39,,INCHES
YBP,M,18,SNOW DP,19790301 0000,19790223 0000,98,,INCHES
YBP,M,18,SNOW DP,19790401 0000,19790321 0000,56,,INCHES
YBP,M,18,SNOW DP,19790501 0000,19790426 0000,42,,INCHES
YBP,M,18,SNOW DP,19800201 0000,19800125 0000,44,,INCHES
YBP,M,18,SNOW DP,19800301 0000,19800227 0000,77,,INCHES
YBP,M,18,SNOW DP,19800401 0000,19800331 0000,76,,INCHES
YBP,M,18,SNOW DP,19800501 0000,19800428 0000,51,,INCHES
YBP,M,18,SNOW DP,19810201 0000,19810129 0000,64,,INCHES
YBP,M,18,SNOW DP,19810301 0000,19810226 0000,42,,INCHES
YBP,M,18,SNOW DP,19810401 0000,19810326 0000,40,,INCHES
YBP,M,18,SNOW DP,19810501 0000,19810429 0000,0,,INCHES
YBP,M,18,SNOW DP,19820201 0000,19820129 0000,67,,INCHES
YBP,M,18,SNOW DP,19820301 0000,19820224 0000,35,,INCHES
YBP,M,18,SNOW DP,19820401 0000,19820330 0000,89,,INCHES
YBP,M,18,SNOW DP,19820501 0000,19820427 0000,73,,INCHES
YBP,M,18,SNOW DP,19830201 0000,19830127 0000,103,,INCHES
YBP,M,18,SNOW DP,19830301 0000,19830222 0000,114,,INCHES
YBP,M,18,SNOW DP,19830401 0000,19830331 0000,141,,INCHES
YBP,M,18,SNOW DP,19830501 0000,19830426 0000,137,,INCHES
YBP,M,18,SNOW DP,19840201 0000,19840126 0000,57,,INCHES
YBP,M,18,SNOW DP,19840301 0000,19840223 0000,81,,INCHES
YBP,M,18,SNOW DP,19840401 0000,19840329 0000,57,,INCHES
YBP,M,18,SNOW DP,19840501 0000,19840427 0000,41,,INCHES
YBP,M,18,SNOW DP,19850301 0000,19850227 0000,47,,INCHES
YBP,M,18,SNOW DP,19850401 0000,19850403 0000,65,,INCHES
YBP,M,18,SNOW DP,19850501 0000,19850426 0000,15,,INCHES
YBP,M,18,SNOW DP,19860201 0000,19860129 0000,37,,INCHES
YBP,M,18,SNOW DP,19860301 0000,19860228 0000,74,,INCHES
YBP,M,18,SNOW DP,19860401 0000,19860327 0000,69,,INCHES
YBP,M,18,SNOW DP,19860501 0000,19860429 0000,14,,INCHES
YBP,M,18,SNOW DP,19870201 0000,19870126 0000,26,,INCHES
YBP,M,18,SNOW DP,19870301 0000,19870225 0000,38,,INCHES
YBP,M,18,SNOW DP,19870401 0000,19870331 0000,35,,INCHES
YBP,M,18,SNOW DP,19870501 0000,19870427 0000,0,,INCHES
YBP,M,18,SNOW DP,19880201 0000,19880127 0000,48,,INCHES
YBP,M,18,SNOW DP,19880301 0000,19880225 0000,30,,INCHES
YBP,M,18,SNOW DP,19880401 0000,19880401 0000,0,,INCHES
YBP,M,18,SNOW DP,19880501 0000,19880502 0000,0,,INCHES
YBP,M,18,SNOW DP,19890201 0000,19890131 0000,58,,INCHES
YBP,M,18,SNOW DP,19890301 0000,19890228 0000,59,,INCHES
YBP,M,18,SNOW DP,19890401 0000,19890330 0000,70,,INCHES
YBP,M,18,SNOW DP,19890501 0000,19890427 0000,29,,INCHES
YBP,M,18,SNOW DP,19900101 0000,19900101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19900201 0000,19900129 0000,28,,INCHES
YBP,M,18,SNOW DP,19900301 0000,19900227 0000,52,,INCHES
YBP,M,18,SNOW DP,19900401 0000,19900329 0000,36,,INCHES
YBP,M,18,SNOW DP,19900501 0000,19900502 0000,0,,INCHES
YBP,M,18,SNOW DP,19900601 0000,19900601 0000,---, ,INCHES
YBP,M,18,SNOW DP,19900701 0000,19900701 0000,---, ,INCHES
YBP,M,18,SNOW DP,19910101 0000,19910101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19910201 0000,19910131 0000,14,,INCHES
YBP,M,18,SNOW DP,19910301 0000,19910227 0000,12,,INCHES
YBP,M,18,SNOW DP,19910401 0000,19910328 0000,72,,INCHES
YBP,M,18,SNOW DP,19910501 0000,19910426 0000,27,,INCHES
YBP,M,18,SNOW DP,19910601 0000,19910601 0000,---, ,INCHES
YBP,M,18,SNOW DP,19910701 0000,19910701 0000,---, ,INCHES
YBP,M,18,SNOW DP,19920101 0000,19920101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19920201 0000,19920129 0000,32,,INCHES
YBP,M,18,SNOW DP,19920301 0000,19920225 0000,51,,INCHES
YBP,M,18,SNOW DP,19920401 0000,19920330 0000,26,,INCHES
YBP,M,18,SNOW DP,19920501 0000,19920430 0000,0,,INCHES
YBP,M,18,SNOW DP,19920601 0000,19920601 0000,---, ,INCHES
YBP,M,18,SNOW DP,19920701 0000,19920701 0000,---, ,INCHES
YBP,M,18,SNOW DP,19930101 0000,19930101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19930201 0000,19930129 0000,96,,INCHES
YBP,M,18,SNOW DP,19930301 0000,19930302 0000,131,,INCHES
YBP,M,18,SNOW DP,19930401 0000,19930330 0000,97,,INCHES
YBP,M,18,SNOW DP,19930501 0000,19930428 0000,63,,INCHES
YBP,M,18,SNOW DP,19930601 0000,19930601 0000,---, ,INCHES
YBP,M,18,SNOW DP,19930701 0000,19930701 0000,---, ,INCHES
YBP,M,18,SNOW DP,19940101 0000,19940101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19940201 0000,19940127 0000,35,,INCHES
YBP,M,18,SNOW DP,19940301 0000,19940228 0000,63,,INCHES
YBP,M,18,SNOW DP,19940401 0000,19940331 0000,29,,INCHES
YBP,M,18,SNOW DP,19940501 0000,19940429 0000,0,,INCHES
YBP,M,18,SNOW DP,19940601 0000,19940601 0000,---, ,INCHES
YBP,M,18,SNOW DP,19940701 0000,19940701 0000,---, ,INCHES
YBP,M,18,SNOW DP,19950101 0000,19950101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19950201 0000,19950131 0000,100,,INCHES
YBP,M,18,SNOW DP,19950301 0000,19950228 0000,81,,INCHES
YBP,M,18,SNOW DP,19950401 0000,19950403 0000,118,,INCHES
YBP,M,18,SNOW DP,19950501 0000,19950428 0000,107,,INCHES
YBP,M,18,SNOW DP,19950601 0000,19950601 0000,---, ,INCHES
YBP,M,18,SNOW DP,19950701 0000,19950701 0000,---, ,INCHES
YBP,M,18,SNOW DP,19960101 0000,19960101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19960201 0000,19960201 0000,64,,INCHES
YBP,M,18,SNOW DP,19960301 0000,19960229 0000,79,,INCHES
YBP,M,18,SNOW DP,19960401 0000,19960328 0000,66,,INCHES
YBP,M,18,SNOW DP,19960501 0000,19960429 0000,37,,INCHES
YBP,M,18,SNOW DP,19960601 0000,19960601 0000,---, ,INCHES
YBP,M,18,SNOW DP,19960701 0000,19960701 0000,---, ,INCHES
YBP,M,18,SNOW DP,19970101 0000,19970101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19970201 0000,19970131 0000,91,,INCHES
YBP,M,18,SNOW DP,19970301 0000,19970228 0000,75,,INCHES
YBP,M,18,SNOW DP,19970401 0000,19970331 0000,51,,INCHES
YBP,M,18,SNOW DP,19970501 0000,19970429 0000,0,,INCHES
YBP,M,18,SNOW DP,19970601 0000,19970601 0000,---, ,INCHES
YBP,M,18,SNOW DP,19970701 0000,19970701 0000,---, ,INCHES
YBP,M,18,SNOW DP,19980101 0000,19980101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19980201 0000,19980129 0000,56,,INCHES
YBP,M,18,SNOW DP,19980301 0000,19980227 0000,112,,INCHES
YBP,M,18,SNOW DP,19980401 0000,19980330 0000,86,,INCHES
YBP,M,18,SNOW DP,19980501 0000,19980429 0000,70, ,INCHES
YBP,M,18,SNOW DP,19980601 0000,19980601 0000,---, ,INCHES
YBP,M,18,SNOW DP,19980701 0000,19980701 0000,---, ,INCHES
YBP,M,18,SNOW DP,19981001 0000,19981001 0000,---, ,INCHES
YBP,M,18,SNOW DP,19981101 0000,19981101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19981201 0000,19981201 0000,---, ,INCHES
YBP,M,18,SNOW DP,19990101 0000,19990101 0000,---, ,INCHES
YBP,M,18,SNOW DP,19990201 0000,19990129 0000,72, ,INCHES
YBP,M,18,SNOW DP,19990301 0000,19990226 0000,127, ,INCHES
YBP,M,18,SNOW DP,19990401 0000,19990402 0000,105, ,INCHES
YBP,M,18,SNOW DP,19990501 0000,19990430 0000,78, ,INCHES
YBP,M,18,SNOW DP,19990601 0000,19990601 0000,---, ,INCHES
YBP,M,18,SNOW DP,19990701 0000,19990701 0000,---, ,INCHES
YBP,M,18,SNOW DP,19990801 0000,19990801 0000,---, ,INCHES
YBP,M,18,SNOW DP,19990901 0000,19990901 0000,---, ,INCHES
YBP,M,18,SNOW DP,19991001 0000,19991001 0000,---, ,INCHES
